@relation winequality-binary-training-0.1

@attribute 'fixed acidity' numeric
@attribute 'volatile acidity' numeric
@attribute 'citric acid' numeric
@attribute 'residual sugar' numeric
@attribute chlorides numeric
@attribute 'free sulfur dioxide' numeric
@attribute 'total sulfur dioxide' numeric
@attribute density numeric
@attribute pH numeric
@attribute sulphates numeric
@attribute alcohol numeric
@attribute quality {'not good',good}

@data
9.4,0.29,0.55,2.2,0.05,17,119,0.9962,3.12,0.69,10.3,'not good'
7.1,0.43,0.61,11.8,0.045,54,155,0.9974,3.11,0.45,8.7,'not good'
7.6,0.345,0.26,1.9,0.043,15,134,0.9936,3.08,0.38,9.5,'not good'
7,0.45,0.34,19.8,0.04,12,67,0.9976,3.07,0.38,11,good
7.3,0.22,0.49,9.4,0.034,29,134,0.9939,2.99,0.32,11,good
7.4,0.24,0.36,2,0.031,27,139,0.99055,3.28,0.48,12.5,good
5.3,0.58,0.07,6.9,0.043,34,149,0.9944,3.34,0.57,9.7,'not good'
6.9,0.4,0.17,12.9,0.033,59,186,0.99754,3.08,0.49,9.4,'not good'
7.5,0.42,0.45,9.1,0.029,20,125,0.996,3.12,0.36,10.1,good
5.9,0.29,0.33,7.4,0.037,58,205,0.99495,3.26,0.41,9.6,'not good'
6.5,0.18,0.41,14.2,0.039,47,129,0.99678,3.28,0.72,10.3,good
6.5,0.38,0.53,1.4,0.142,5,69,0.9926,3.14,0.52,10.1,'not good'
7.3,0.32,0.29,1.5,0.038,32,144,0.99296,3.2,0.55,10.8,'not good'
5.2,0.16,0.34,0.8,0.029,26,77,0.99155,3.25,0.51,10.1,good
6,0.26,0.24,1.3,0.053,66,150,0.9924,3.21,0.62,10.4,good
5.7,0.21,0.32,0.9,0.038,38,121,0.99074,3.24,0.46,10.6,good
5.8,0.42,0.3,2.2,0.035,26,129,0.989,3.32,0.47,12.9,good
8.4,0.17,0.31,6.7,0.038,29,132,0.9945,3.1,0.32,10.6,good
6.7,0.31,0.18,7.7,0.043,57,200,0.99566,3.17,0.44,9.4,good
5.2,0.31,0.36,5.1,0.031,46,145,0.9897,3.14,0.31,12.4,good
6.8,0.29,0.22,3.4,0.035,40,122,0.99024,3.09,0.47,12.3,good
7.5,0.16,0.38,12.7,0.043,70.5,163,0.99706,3.15,0.82,10.4,good
6.5,0.18,0.33,1.4,0.029,35,138,0.99114,3.36,0.6,11.5,good
6.3,0.24,0.29,13.7,0.035,53,134,0.99567,3.17,0.38,10.6,good
6.1,0.3,0.47,1.4,0.049,50,187,0.9927,3.19,0.45,9.5,'not good'
6.3,0.695,0.55,12.9,0.056,58,252,0.99806,3.29,0.49,8.7,'not good'
6.8,0.26,0.48,6.2,0.049,55,182,0.99582,3.21,0.45,9.4,good
7.4,0.16,0.3,1.4,0.064,34,166,0.99136,3.11,0.42,11.433333,good
10,0.23,0.27,14.1,0.033,45,166,0.9988,2.72,0.43,9.7,good
6.9,0.21,0.49,1.4,0.041,15,164,0.9927,3.25,0.63,11,'not good'
6.7,0.28,0.14,1.4,0.043,64,159,0.992,3.17,0.39,10,'not good'
6.6,0.38,0.36,9.2,0.061,42,214,0.9976,3.31,0.56,9.4,'not good'
7.9,0.31,0.22,13.3,0.048,46,212,0.99942,3.47,0.59,10,'not good'
6.6,0.43,0.24,11.9,0.04,54,159,0.99622,3.14,0.54,9.8,good
7.7,0.34,0.58,11.1,0.039,41,151,0.9978,3.06,0.49,8.6,'not good'
6.5,0.25,0.5,7.6,0.047,54,184,0.99572,3.17,0.45,9.2,'not good'
7.2,0.25,0.19,8,0.044,51,172,0.9964,3.16,0.44,9.2,'not good'
6.3,0.12,0.36,2.1,0.044,47,146,0.9914,3.27,0.74,11.4,good
6.4,0.25,0.32,5.5,0.049,41,176,0.995,3.19,0.68,9.2,good
8.8,0.19,0.3,5,0.028,34,120,0.99242,2.94,0.47,11.2,'not good'
7,0.14,0.4,1.7,0.035,16,85,0.9911,3.19,0.42,11.8,good
6.8,0.26,0.29,11.9,0.052,54,160,0.99546,3.03,0.58,10.4,good
6.7,0.18,0.3,6.4,0.048,40,251,0.9956,3.29,0.52,10,'not good'
6.8,0.26,0.46,8.3,0.037,49,173,0.99601,3.17,0.47,9.3,'not good'
6.3,0.23,0.3,1.8,0.033,16,91,0.9906,3.28,0.4,11.8,good
9,0.24,0.5,1.2,0.048,26,107,0.9918,3.21,0.34,12.4,good
7.2,0.26,0.74,13.6,0.05,56,162,0.998,3.03,0.44,8.8,'not good'
6.7,0.38,0.26,9.55,0.036,35,91,0.9919,2.98,0.37,12.4,good
6.4,0.475,0.06,1,0.03,9,131,0.9904,2.97,0.29,10.8,'not good'
9.1,0.59,0.38,1.6,0.066,34,182,0.9968,3.23,0.38,8.5,'not good'
5.8,0.24,0.28,1.4,0.038,40,76,0.98711,3.1,0.29,13.9,good
7.7,0.39,0.28,4.9,0.035,36,109,0.9918,3.19,0.58,12.2,good
5,0.44,0.04,18.6,0.039,38,128,0.9985,3.37,0.57,10.2,good
7.3,0.4,0.28,6.5,0.037,26,97,0.99148,3.16,0.58,12.6,good
6.2,0.35,0.25,18.4,0.051,28,182,0.99946,3.13,0.62,9.3,good
6.7,0.48,0.49,2.9,0.03,28,122,0.98926,3.13,0.4,13,good
6.4,0.24,0.26,8.2,0.054,47,182,0.99538,3.12,0.5,9.5,'not good'
6.7,0.26,0.39,1.1,0.04,45,147,0.9935,3.32,0.58,9.6,good
6.5,0.2,0.24,9.2,0.044,25,150,0.99502,3.22,0.44,10.5,'not good'
6.1,0.55,0.15,9.8,0.031,19,125,0.9957,3.36,0.47,10.2,good
5.9,0.27,0.27,5,0.035,14,97,0.99058,3.1,0.33,11.8,good
6.1,0.32,0.25,1.7,0.034,37,136,0.992,3.47,0.5,10.8,good
6.5,0.29,0.42,10.6,0.042,66,202,0.99674,3.24,0.53,9.5,good
6.4,0.16,0.32,8.75,0.038,38,118,0.99449,3.19,0.41,10.7,'not good'
6.7,0.24,0.41,2.9,0.039,48,122,0.99052,3.25,0.43,12,'not good'
7.3,0.26,0.33,17.85,0.049,41.5,195,1,3.06,0.44,9.1,good
6.6,0.22,0.23,17.3,0.047,37,118,0.99906,3.08,0.46,8.8,good
7.6,0.31,0.29,10.5,0.04,21,145,0.9966,3.04,0.35,9.4,'not good'
8.6,0.16,0.38,3.4,0.04,41,143,0.9932,2.95,0.39,10.2,good
6.9,0.25,0.33,1.2,0.035,35,158,0.99082,3.02,0.58,11.3,good
6,0.35,0.51,1.2,0.029,10,102,0.9903,3.46,0.42,11.9,good
7.6,0.2,0.3,14.2,0.056,53,212.5,0.999,3.14,0.46,8.9,good
6.4,0.27,0.29,10.8,0.028,17,118,0.99356,3.18,0.37,11.2,good
6.5,0.35,0.36,0.8,0.034,32,111,0.98942,3.11,0.5,12.1,good
6.4,0.31,0.28,2.5,0.039,34,137,0.98946,3.22,0.38,12.7,good
6.6,0.23,0.29,14.45,0.057,29,144,0.99756,3.33,0.54,10.2,good
7.5,0.38,0.33,9.2,0.043,19,116,0.99444,3.08,0.42,11.4,good
